cleaned_text,char_count,word_count,exclamation_count,has_url,label_encoded,label
i hope you that s the result of being consistently intelligent and kind start asking him about practicum links and keep your ears open and all the best ttyl,156,29,0,0,0,ham
no need for the drug anymore,28,6,0,0,0,ham
sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect? end? reply end sptv,117,22,0,0,1,spam
shall i come to get pickle,26,6,0,0,0,ham
goodmorning my grandfather expired so am on leave today,55,9,0,0,0,ham
but you were together so you should be thinkin about him,56,11,0,0,0,ham
got c i lazy to type i forgot in lect i saw a pouch but like not v nice,71,19,0,0,0,ham
kinda first one gets in at twelve! aah speak tomo,49,10,1,0,0,ham
free camera phones with linerental from 4 49 month with 750 cross ntwk mins 1 2 price txt bundle deals also avble call 08001950382 or call2optout j mf,150,28,0,0,1,spam
no dude its not fake my frnds got money thts y i m reffering u if u member wit my mail link u vl be credited lt gt rs and il be getiing lt gt rs i can draw my acc wen it is lt gt rs,181,47,0,0,0,ham
jade its paul y didn t u txt me? do u remember me from barmed? i want 2 talk 2 u! txt me,88,23,1,0,0,ham
hope you are having a good week just checking in,48,10,0,0,0,ham
dear how is chechi did you talk to her,38,9,0,0,0,ham
now get step 2 outta the way congrats again,43,9,0,0,0,ham
was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,90,17,0,0,0,ham
den wat will e schedule b lk on sun?,36,9,0,0,0,ham
all these nice new shirts and the only thing i can wear them to is nudist themed you in mu?,91,20,0,0,0,ham
there s no point hangin on to mr not right if he s not makin u happy,68,17,0,0,0,ham
hey now am free you can call me,31,8,0,0,0,ham
what u wearing?,15,3,0,0,0,ham
aslamalaikkum insha allah tohar beeen muht albi mufti mahfuuz meaning same here,79,12,0,0,0,ham
someone u know has asked our dating service 2 contact you! cant guess who? call 09058091854 now all will be revealed po box385 m6 6wu,133,25,1,0,1,spam
u having lunch alone? i now so bored,36,8,0,0,0,ham
i to am looking forward to all the sex cuddling only two more sleeps,68,14,0,0,0,ham
call 09095350301 and send our girls into erotic ecstacy just 60p min to stop texts call 08712460324 nat rate,108,19,0,0,1,spam
my love ! how come it took you so long to leave for zaher s? i got your words on ym and was happy to see them but was sad you had left i miss you,145,36,1,0,0,ham
yeah we got one lined up for us,31,8,0,0,0,ham
my house here e sky quite dark liao if raining then got excuse not 2 run already rite hee,89,19,0,0,0,ham
oops am at my mum s in somerset bit far! back tomo see you soon x,65,16,1,0,0,ham
do you mind if i ask what happened? you dont have to say if it is uncomfortable,79,17,0,0,0,ham
and maybe some pressies,23,4,0,0,0,ham
should i buy him a blackberry bold 2 or torch should i buy him new or used let me know plus are you saying i should buy the lt gt g wifi ipad and what are you saying about the about the lt gt g?,194,45,0,0,0,ham
got meh when?,13,3,0,0,0,ham
mean it s confirmed i tot they juz say oni ok then,50,12,0,0,0,ham
how i noe did specify da domain as nusstu still in sch,54,12,0,0,0,ham
our brand new mobile music service is now live the free music player will arrive shortly just install on your phone to browse content from the top artists,154,28,0,0,1,spam
sorry that took so long omw now,31,7,0,0,0,ham
lol grr my mom is taking forever with my prescription pharmacy is like 2 minutes away ugh,89,17,0,0,0,ham
why de you looking good only,28,6,0,0,0,ham
i thk 50 shd be ok he said plus minus 10 did leave a line in between paragraphs?,80,18,0,0,0,ham
i think the other two still need to get cash but we can def be ready by 9,73,18,0,0,0,ham
nice nice how is it working?,28,6,0,0,0,ham
good stuff will do,18,4,0,0,0,ham
sports fans get the latest sports news str 2 ur mobile 1 wk free plus a free tone txt sport on to 8007 url 0870141701216 norm 4txt 120p,135,28,0,1,1,spam
thinkin about someone is all good no drugs for that,51,10,0,0,0,ham
today am going to college so am not able to atten the class,59,13,0,0,0,ham
badrith is only for chennai i will surely pick for us no competition for him,76,15,0,0,0,ham
ok u can take me shopping when u get paid d,43,11,0,0,0,ham
it s reassuring in this crazy world,35,7,0,0,0,ham
maybe?! say hi to and find out if got his card great escape or wetherspoons?,76,15,1,0,0,ham
will do you gonna be at blake s all night? i might be able to get out of here a little early,92,22,0,0,0,ham
s if we have one good partnership going we will take lead,57,12,0,0,0,ham
oh just getting even with u u?,30,7,0,0,0,ham
didn t you get hep b immunisation in nigeria,44,9,0,0,0,ham
am watching house very entertaining am getting the whole hugh laurie thing even with the stick indeed especially with the stick,127,21,0,0,0,ham
imagine you finally get to sink into that bath after i have put you through your paces maybe even having you eat me for a while before i left but also imagine the feel of that cage on your cock surrounded by the bath water reminding you always who owns you enjoy my cuck,270,54,0,0,0,ham
ur cash balance is currently 500 pounds to maximize ur cash in now send cash to 86688 only 150p msg cc 08718720201 po box 114 14 tcr w1,135,28,0,0,1,spam
nice line said by a broken heart plz don t cum 1 more times infront of me other wise once again i ll trust u good 9t,116,27,0,0,0,ham
what you doing?how are you?,27,5,0,0,0,ham
sorry i ll call later,21,5,0,0,0,ham
dear all as we know lt gt th is the lt gt th birthday of our loving gopalettan we are planning to give a small gift on that day those who like to participate in that you are welcome please contact our admin team for more details,228,47,0,0,0,ham
it is a good thing i m now getting the connection to bw,55,13,0,0,0,ham
lt gt ish minutes was 5 minutes ago wtf,39,9,0,0,0,ham
what should i eat fo lunch senor,32,7,0,0,0,ham
dunno lei all decide lor how abt leona? oops i tot ben is going n i msg him,75,18,0,0,0,ham
prakesh is there know,21,4,0,0,0,ham
how much it will cost approx per month,38,8,0,0,0,ham
free message activate your 500 free text messages by replying to this message with the word free for terms conditions visit url,127,22,0,1,1,spam
hi this is yijue it s regarding the 3230 textbook it s intro to algorithms second edition i m selling it for $50,112,23,0,0,0,ham
no problem baby is this is a good time to talk? i called and left a message,75,17,0,0,0,ham
so what do you guys do,22,6,0,0,0,ham
what time you think you ll have it? need to know when i should be near campus,77,17,0,0,0,ham
ok that s great thanx a lot,27,7,0,0,0,ham
where can download clear movies dvd copies,42,7,0,0,0,ham
thanks for understanding i ve been trying to tell sura that,59,11,0,0,0,ham
urgent! you have won a 1 week free membership in our 100 000 prize jackpot! txt the word claim to no 81010 t c url lccltd pobox 4403ldnw1a7rw18,143,28,2,1,1,spam
maybe westshore or hyde park village the place near my house?,61,11,0,0,0,ham
dear voucher holder have your next meal on us use the following link on your pc 2 enjoy a 2 4 1 dining experience url,117,25,0,1,1,spam
gr8 so how do you handle the victoria island traffic plus when s the album due,78,16,0,0,0,ham
even if he my friend he is a priest call him now,48,12,0,0,0,ham
customer service annoncement you have a new years delivery waiting for you please call 07046744435 now to arrange delivery,122,19,0,0,1,spam
thanx 4 2day! u r a goodmate i think ur rite sary! asusual!1 u cheered me up! love u franyxxxxx,95,20,4,0,0,ham
k k advance happy pongal,24,5,0,0,0,ham
huh so fast dat means u havent finished painting?,49,9,0,0,0,ham
heehee that was so funny tho,28,6,0,0,0,ham
the battery is for mr adewale my uncle aka egbon,48,10,0,0,0,ham
watching telugu movie wat abt u?,32,6,0,0,0,ham
said kiss kiss i can t do the sound effects! he is a gorgeous man isn t he! kind of person who needs a smile to brighten his day!,129,29,3,0,0,ham
just got outta class gonna go gym,33,7,0,0,0,ham
yar i wanted 2 scold u yest but late already i where got zhong se qing you? if u ask me b4 he ask me then i ll go out w u all lor n u still can act so real,155,41,0,0,0,ham
i ve reached home n i bathe liao u can call me now,50,13,0,0,0,ham
watching ajith film ah?,23,4,0,0,0,ham
today s offer! claim ur 150 worth of discount vouchers! text yes to 85023 now! savamob member offers mobile! t cs 08717898035 3 00 sub 16 unsub reply x,151,29,4,0,1,spam
watching tv now i got new job,29,7,0,0,0,ham
not heard from u4 a while call 4 rude chat private line 01223585334 to cum wan 2c pics of me gettin shagged then text pix to 8552 2end send stop 8552 sam xxx,157,33,0,0,1,spam
that one week leave i put know that time why,44,10,0,0,0,ham
i borrow ur bag ok,18,5,0,0,0,ham
love you aathi love u lot,25,6,0,0,0,ham
sad story of a man last week was my b day my wife did nt wish me my parents forgot n so did my kids i went to work even my colleagues did not wish as i entered my cabin my pa said happy b day boss !! i felt special she askd me 4 lunch after lunch she invited me to her apartment we went there she said do u mind if i go into the bedroom for a minute ? ok i sed in a sexy mood she came out 5 minuts latr wid a cake n my wife my parents my kidz my friends n my colleagues all screaming surprise !! and i was waiting on the sofa naked !,533,123,5,0,0,ham
oh i will get paid the most outstanding one is for a commercial i did for hasbro in august! they made us jump through so many hoops to get paid still not,153,32,1,0,0,ham
i m so in love with you i m excited each day i spend with you you make me so happy,82,21,0,0,0,ham
shb b ok lor thanx,18,5,0,0,0,ham
do you want bold 2 or bb torch,30,8,0,0,0,ham
private! your 2004 account statement for 07742676969 shows 786 unredeemed bonus points to claim call 08719180248 identifier code 45239 expires,142,20,1,0,1,spam
and also i ve sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,116,25,0,0,0,ham
anything,8,1,0,0,0,ham
hey gals u all wanna meet 4 dinner at n te?,43,11,0,0,0,ham
oh howda gud gud mathe en samachara chikku,42,8,0,0,0,ham
r u meeting da ge at nite tmr?,30,8,0,0,0,ham
mm umma ask vava also to come tell him can play later together,62,13,0,0,0,ham
eh ur laptop got no stock lei he say mon muz come again to take a look c got a not,82,21,0,0,0,ham
s from the training manual it show there is no tech process its all about password reset and troubleshooting,108,19,0,0,0,ham
dear u ve been invited to xchat this is our final attempt to contact u! txt chat to 86688,89,19,1,0,1,spam
no 1 polyphonic tone 4 ur mob every week! just txt pt2 to 87575 1st tone free ! so get txtin now and tell ur friends 150p tone 16 reply hl 4info,144,32,2,0,1,spam
guess who am i?this is the first time i created a web page url read all i wrote i m waiting for your opinions i want to be your friend 1 1,138,32,0,1,1,spam
gud mrng dear hav a nice day,28,7,0,0,0,ham
hey doc pls i want to get nice t shirt for my hubby nice fiting ones my budget is lt gt k help pls i will load d card abi hw keep me posted luv 2 mj,148,37,0,0,0,ham
oh icic k lor den meet other day,32,8,0,0,0,ham
smith waste da i wanna gayle,28,6,0,0,0,ham
ok,2,1,0,0,0,ham
no my blankets are sufficient thx,33,6,0,0,0,ham
oh k k but he is not a big hitter anyway good,45,12,0,0,0,ham
kindly send some one to our flat before lt decimal gt today,59,12,0,0,0,ham
dont gimme that lip caveboy,27,5,0,0,0,ham
detroit the home of snow enjoy it,33,7,0,0,0,ham
we live in the next lt gt mins,30,8,0,0,0,ham
u free on sat rite? u wan 2 watch infernal affairs wif me n darren n mayb xy?,77,18,0,0,0,ham
dont make ne plans for nxt wknd coz she wants us to come down then ok,69,16,0,0,0,ham
just nw i came to hme da,24,7,0,0,0,ham
hey! there s veggie pizza,25,5,1,0,0,ham
hey you told your name to gautham ah?,37,8,0,0,0,ham
jesus armand really is trying to tell everybody he can find,59,11,0,0,0,ham
just dropped em off omw back now,32,7,0,0,0,ham
i m in office now i will call you lt gt min,43,12,0,0,0,ham
boltblue tones for 150p reply poly or mono eg poly3 1 cha cha slide 2 yeah 3 slow jamz 6 toxic 8 come with me or stop 4 more tones txt more,139,32,0,0,1,spam
i m reaching in another 2 stops,31,7,0,0,0,ham
i am back good journey! let me know if you need any of the receipts shall i tell you like the pendent?,102,22,1,0,0,ham
dunno he jus say go lido same time 930,38,9,0,0,0,ham
the sign of maturity is not when we start saying big things but actually it is when we start understanding small things have a nice evening bslvyl,146,27,0,0,0,ham
those cocksuckers if it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one,132,23,0,0,0,ham
thank you for calling forgot to say happy onam to you sirji i am fine here and remembered you when i met an insurance person meet you in qatar insha allah rakhesh ex tata aig who joined tissco tayseer,200,39,0,0,0,ham
well there s still a bit left if you guys want to tonight,57,13,0,0,0,ham
unfortunately i ve just found out that we have to pick my sister up from the airport that evening so don t think i ll be going out at all we should try to go out one of th,171,39,0,0,0,ham
haiyoh maybe your hamster was jealous of million,48,8,0,0,0,ham
had your mobile 10 mths? update to the latest camera video phones for free keep ur same number get extra free mins texts text yes for a call,140,28,0,0,1,spam
ok both our days so what are you making for dinner tonite? am i invited?,72,15,0,0,0,ham
that s y we haf to combine n c how lor,38,11,0,0,0,ham
double mins and txts 4 6months free bluetooth on orange available on sony nokia motorola phones call mobileupd8 on 08000839402 or call2optout n9dx,146,23,0,0,1,spam
pathaya enketa maraikara pa,27,4,0,0,0,ham
hey chief can you give me a bell when you get this need to talk to you about this royal visit on the 1st june,109,25,0,0,0,ham
how much r willing to pay?,26,6,0,0,0,ham
just woke up yeesh its late but i didn t fall asleep til lt gt am,65,16,0,0,0,ham
now only i reached home i am very tired now i will come tomorro,63,14,0,0,0,ham
jus ans me lar u ll noe later,29,8,0,0,0,ham
1 tension face 2 smiling face 3 waste face 4 innocent face 5 terror face 6 cruel face 7 romantic face 8 lovable face 9 decent face lt gt joker face,147,31,0,0,0,ham
tddnewsletter emc1 co uk more games from thedailydraw dear helen dozens of free games with great prizeswith,107,17,0,0,1,spam
message some text missing sender name missing number missing sent date missing missing u a lot thats y everything is missing sent via fullonsms com,147,25,0,0,0,ham
my tuition is at 330 hm we go for the 1120 to 1205 one? do you mind?,68,17,0,0,0,ham
he s really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes,154,30,0,0,0,ham
otherwise had part time job na tuition,38,7,0,0,0,ham
thanks honey have a great day,29,6,0,0,0,ham
camera you are awarded a sipix digital camera! call 09061221066 fromm landline delivery within 28 days,102,16,1,0,1,spam
yupz i ve oredi booked slots 4 my weekends liao,47,10,0,0,0,ham
yeah he got in at 2 and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till 2! but we won t go there! not doing too badly cheers you?,185,42,2,0,0,ham
can i get your opinion on something first?,42,8,0,0,0,ham
god picked up a flower and dippeditinadew lovingly touched itwhichturnedinto u and the he gifted tomeandsaid this friend is 4u,126,20,0,0,0,ham
2 2 146tf150p,13,3,0,0,1,spam
hey!!! i almost forgot happy b day babe ! i love ya!!,53,12,6,0,0,ham
i think your mentor is but not 100 percent sure,47,10,0,0,0,ham
it wont b until 2 15 as trying 2 sort house out is that ok?,59,15,0,0,0,ham
if he started searching he will get job in few days he have great potential and talent,86,17,0,0,0,ham
pass dis to all ur contacts n see wat u get! red i m in luv wid u blue u put a smile on my face purple u r realy hot pink u r so swt orange i thnk i lyk u green i realy wana go out wid u yelow i wnt u bck black i m jealous of u brown i miss you nw plz giv me one color,268,71,1,0,0,ham
too late i said i have the website i didn t i have or dont have the slippers,76,18,0,0,0,ham
i sent you lt gt bucks,22,6,0,0,0,ham
you have won a nokia 7250i this is what you get when you win our free auction to take part send nokia to 86021 now hg suite342 2lands row w1jhl 16,146,31,0,0,1,spam
nice nice how is it working?,28,6,0,0,0,ham
wife how she knew the time of murder exactly,44,9,0,0,0,ham
i was up all night too worrying about this appt it s a shame we missed a girls night out with quizzes popcorn and you doing my hair,131,28,0,0,0,ham
how much are we getting?,24,5,0,0,0,ham
package all your programs well,30,5,0,0,0,ham
i send the print outs da,24,6,0,0,0,ham
we have new local dates in your area lots of new people registered in your area reply date to start now! 18 only url replys150,126,25,1,1,1,spam
you have won a guaranteed 200 award or even 1000 cashto claim ur award call free on 08000407165 18 2 stop getstop on 88222 php,126,25,0,0,1,spam
gonna let me know cos comes bak from holiday that day is coming don t4get2text me number,88,17,0,0,0,ham
good afternoon babe how goes that day ? any job prospects yet ? i miss you my love sighs,88,19,0,0,0,ham
a cute thought for friendship its not necessary to share every secret with ur close frnd but watever u shared should be true,124,23,0,0,0,ham
i don t know u and u don t know me send chat to 86688 now and let s find each other! only 150p msg rcvd hg suite342 2lands row w1j6hl ldn 18 years or over,154,36,1,0,1,spam
hello which the site to download songs its urgent pls,53,10,0,0,0,ham
no i decided that only people who care about stuff vote and caring about stuff is for losers,92,18,0,0,0,ham
yeah just open chat and click friend lists then make the list easy as pie,73,15,0,0,0,ham
anyway seriously hit me up when you re back because otherwise i have to light up with armand and he always has shit and or is vomiting,134,27,0,0,0,ham
purity of friendship between two is not about smiling after reading the forwarded message its about smiling just by seeing the name gud evng,140,24,0,0,0,ham
r u over scratching it?,23,5,0,0,0,ham
we currently have a message awaiting your collection to collect your message just call 08718723815,98,15,0,0,1,spam
send me your resume,19,4,0,0,0,ham
ho ho big belly laugh! see ya tomo,34,8,1,0,0,ham
ummma will call after check in our life will begin from qatar so pls pray very hard,83,17,0,0,0,ham
free video camera phones with half price line rental for 12 mths and 500 cross ntwk mins 100 txts call mobileupd8 08001950382 or call2optout 674,144,25,0,0,1,spam
don t necessarily expect it to be done before you get back though because i m just now headin out,97,20,0,0,0,ham
yes but i dont care! i need you bad princess!,45,10,2,0,0,ham
to the wonderful okors have a great month we cherish you guys and wish you well each day mojibiola,98,19,0,0,0,ham
camera you are awarded a sipix digital camera! call 09061221066 fromm landline delivery within 28 days,102,16,1,0,1,spam
babe! i fucking love you too !! you know? fuck it was so good to hear your voice i so need that i crave it i can t get enough i adore you ahmad kisses,150,35,3,0,0,ham
thk some of em find wtc too far weiyi not goin e rest i dunno yet r ur goin 4 dinner den i might b able to join,111,28,0,0,0,ham
aight fuck it i ll get it later,31,8,0,0,0,ham
once a fishrman woke early in d mrng it was very dark he waited a while amp found a sack ful of stones he strtd throwin thm in2 d sea 2 pass time atlast he had jus 1stone sun rose up amp he found out tht those r nt stones those were diamonds moral dont wake up early in d mrng good night,287,63,0,0,0,ham
i went to ur hon lab but no one is there,40,11,0,0,0,ham
evry emotion dsn t hav words evry wish dsn t hav prayrs if u smile d world is wit u othrwise even d drop of tear dsn t lik 2 stay wit u so b happy good morning keep smiling,172,40,0,0,0,ham
dunno lei i thk mum lazy to go out i neva ask her yet,53,14,0,0,0,ham
we have sent jd for customer service cum accounts executive to ur mail id for details contact us,96,18,0,0,0,ham
i want to be inside you every night,35,8,0,0,0,ham
argh why the fuck is nobody in town,35,8,0,0,0,ham
i am going to sao mu today will be done only at 12,50,13,0,0,0,ham
text82228 get more ringtones logos and games from url questions info txt82228 co uk,83,14,0,1,1,spam
do u noe wat time e place dat sells 4d closes?,46,11,0,0,0,ham
as a registered optin subscriber ur draw 4 100 gift voucher will be entered on receipt of a correct ans to 80062 whats no1 in the bbc charts,140,28,0,0,1,spam
id onluy matters when getting on from offcampus,47,8,0,0,0,ham
are you available for soiree on june 3rd?,41,8,0,0,0,ham
you have 1 new message please call 08712400200,46,8,0,0,1,spam
aight that ll work thanks,25,5,0,0,0,ham
i dont understand your message,30,5,0,0,0,ham
no problem how are you doing?,29,6,0,0,0,ham
now project pa after that only i can come,41,9,0,0,0,ham
i can ask around but there s not a lot in terms of mids up here,63,16,0,0,0,ham
aiyah sorry lor i watch tv watch until i forgot 2 check my phone,64,14,0,0,0,ham
i m leaving my house now,24,6,0,0,0,ham
v aluable a ffectionate l oveable e ternal n oble t ruthful i ntimate n atural e namous happy valentines day in advance,119,23,0,0,0,ham
okie,4,1,0,0,0,ham
i m going for bath will msg you next lt gt min,46,12,0,0,0,ham
hello! good week? fancy a drink or something later?,51,9,1,0,0,ham
smile in pleasure smile in pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves to see u smiling!!,141,26,2,0,0,ham
i ll be at mu in like lt gt seconds,35,10,0,0,0,ham
hello no news on job they are making me wait a fifth week! yeah im up for some woozles and weasels in exeter still but be home about 3,134,29,1,0,0,ham
sitting in mu waiting for everyone to get out of my suite so i can take a shower,80,18,0,0,0,ham
thought we could go out for dinner i ll treat you! seem ok?,59,13,1,0,0,ham
carlos took a while again we leave in a minute,46,10,0,0,0,ham
yar lor keep raining non stop or u wan 2 go elsewhere?,54,12,0,0,0,ham
friendship is not a game to play it is not a word to say it doesn t start on march and ends on may it is tomorrow yesterday today and e,135,31,0,0,0,ham
hey a guy i know is breathing down my neck to get him some bud anyway you d be able to get a half track to usf tonight?,119,28,0,0,0,ham
v ma fan,8,3,0,0,0,ham
no promises on when though haven t even gotten dinner yet,57,11,0,0,0,ham
do have a nice day today i love you so dearly,45,11,0,0,0,ham
ranjith cal drpd deeraj and deepak 5min hold,44,8,0,0,0,ham
and pls pls drink plenty plenty water,37,7,0,0,0,ham
hello handsome ! are you finding that job ? not being lazy ? working towards getting back that net for mummy ? where s my boytoy now ? does he miss me ?,152,33,1,0,0,ham
oh k after that placement there ah?,35,7,0,0,0,ham
urgh coach hot smells of chip fat! thanks again especially for the duvet not a predictive text word,99,18,1,0,0,ham
ok but bag again,16,4,0,0,0,ham
are you this much buzy,22,5,0,0,0,ham
k k good study well,19,5,0,0,0,ham
no it s not pride i m almost lt gt years old and shouldn t be takin money from my kid you re not supposed to have to deal with this stuff this is grownup stuff why i don t tell you,180,42,0,0,0,ham
in the end she might still vomit but its okay not everything will come out,74,15,0,0,0,ham
ok that would b lovely if u r sure think about wot u want to do drinkin dancin eatin cinema in out about up to u! wot about ?,125,29,1,0,0,ham
ya ok then had dinner?,22,5,0,0,0,ham
thts god s gift for birds as humans hav some natural gift frm god,65,14,0,0,0,ham
where s my boytoy? i miss you what happened?,44,9,0,0,0,ham
height of recycling read twice people spend time for earning money and the same money is spent for spending time! good morning keep smiling,139,24,1,0,0,ham
i can probably come by everybody s done around lt gt right?,59,12,0,0,0,ham
after my work ah den 6 plus lor u workin oso rite den go orchard lor no other place to go liao,94,22,0,0,0,ham
fighting with the world is easy u either win or lose bt fightng with some1 who is close to u is dificult if u lose u lose if u win u still lose,143,33,0,0,0,ham
i think it s all still in my car,32,9,0,0,0,ham
pls call me da what happen,26,6,0,0,0,ham
had your contract mobile 11 mnths? latest motorola nokia etc all free! double mins text on orange tariffs text yes for callback no to remove from records,153,27,1,0,1,spam
k k congratulation,18,3,0,0,0,ham
so is there anything specific i should be doing with regards to jaklin or what because idk what the fuck,104,20,0,0,0,ham
good night am going to sleep,28,6,0,0,0,ham
when u love someone dont make them to love u as much as u do but love them so much that they dont want to be loved by anyone except you gud nit,143,33,0,0,0,ham
pls she needs to dat slowly or she will vomit more,50,11,0,0,0,ham
this single single answers are we fighting? plus i said am broke and you didnt reply,84,16,0,0,0,ham
i noe la u wana pei bf oso rite k lor other days den,52,14,0,0,0,ham
i only work from mon to thurs but sat i cant leh booked liao which other day u free?,84,19,0,0,0,ham
yeah why not is the gang all ready,34,8,0,0,0,ham
does she usually take fifteen fucking minutes to respond to a yes or no question,80,15,0,0,0,ham
s but he had some luck 2 catches put down,41,10,0,0,0,ham
no but the bluray player can,28,6,0,0,0,ham
how s it feel? mr your not my real valentine just my yo valentine even tho u hardly play!!,90,19,2,0,0,ham
anything lor is she coming?,27,5,0,0,0,ham
reply to win 100 weekly! where will the 2006 fifa world cup be held? send stop to 87239 to end service,102,21,1,0,1,spam
quite lor but dun tell him wait he get complacent,49,10,0,0,0,ham
nobody can decide where to eat and dad wants chinese,52,10,0,0,0,ham
ok lor anyway i thk we cant get tickets now cos like quite late already u wan 2 go look 4 ur frens a not? darren is wif them now,128,30,0,0,0,ham
leaving to qatar tonite in search of an opportunity all went fast pls add me in ur prayers dear rakhesh,103,20,0,0,0,ham
gr8 new service live sex video chat on your mob see the sexiest dirtiest girls live on ur phone 4 details text horny to 89070 to cancel send stop to 89070,154,31,0,0,1,spam
do you like italian food?,25,5,0,0,0,ham
k give back my thanks,21,5,0,0,0,ham
that s fine have him give me a call if he knows what he wants or has any questions,82,19,0,0,0,ham
he s an adult and would learn from the experience there s no real danger i just dont like peeps using drugs they dont need but no comment,137,28,0,0,0,ham
thanks for being there for me just to talk to on saturday you are very dear to me i cherish having you as a brother and role model,130,28,0,0,0,ham
k i m leaving soon be there a little after 9,44,11,0,0,0,ham
huh so early then having dinner outside izzit?,46,8,0,0,0,ham
yo! howz u? girls never rang after india l,42,9,1,0,0,ham
you still coming tonight?,25,4,0,0,0,ham
in the simpsons movie released in july 2007 name the band that died at the start of the film? a green day b blue day c red day send a b or c,140,33,0,0,1,spam
hi i m sue i am 20 years old and work as a lapdancer i love sex text me live i m i my bedroom now text sue to 89555 by textoperator g2 1da 150ppmsg 18,150,36,0,0,1,spam
just forced myself to eat a slice i m really not hungry tho this sucks mark is getting worried he knows i m sick when i turn down pizza lol,139,30,0,0,0,ham
i m stuck in da middle of da row on da right hand side of da lt,63,17,0,0,0,ham
so how s scotland hope you are not over showing your jjc tendencies take care live the dream,92,18,0,0,0,ham
small problem in auction punj now asking tiwary,47,8,0,0,0,ham
yeah we wouldn t leave for an hour at least how s 4 sound?,58,14,0,0,0,ham
gsoh? good with spam the ladies?u could b a male gigolo? 2 join the uk s fastest growing mens club reply oncall mjzgroup 08714342399 2stop reply stop msg 1 50rcvd,162,30,0,0,1,spam
you know wot people wear t shirts jumpers hat belt is all we know we r at cribbs,80,18,0,0,0,ham
haha awesome be there in a minute,33,7,0,0,0,ham
